Business Name,Category,City,Phone,Website,Instagram URL,Google Reviews,Rating,Website Score,Review Gap,Priority Score,Lead Type,Purchase Probability,Personalized Pitch Angle
The Home Bakers Delhi,Bakery and Cake Shop,Delhi,08076473789,None,https://www.instagram.com/thehomebakersdelhi/,24,4.3,1,976,100,Type B (No Website),High,Turn your Delhi local searches and Google Maps presence into direct dine-in customers. We will build a custom mobile-friendly website and help automate review generation.
Home Bakers,Bakery and Cake Shop,Delhi,09212109091,None,,2,4.0,1,998,90,Type B (No Website),High,Turn your Delhi local searches and Google Maps presence into direct dine-in customers. We will build a custom mobile-friendly website and help automate review generation.
#WAFFLE STATION DELHI,Cafe,Delhi,08810694200,None,,76,4.9,1,924,90,Type B (No Website),High,Turn your Delhi local searches and Google Maps presence into direct dine-in customers. We will build a custom mobile-friendly website and help automate review generation.
The Belgian Waffle Co.,Dessert restaurant,Delhi,08657064363,https://thebelgianwaffle.co/,https://www.instagram.com/p/DZb-rCFjHHZ,29,4.5,6,971,90,Type A (With Website),High,"You have a website, but only 29 reviews. Let's help you double your reviews to match Delhi's top competitors."
"The Waffle Co., Surajmal Vihar Delhi",Restaurant,Delhi,09811662973,None,,49,4.1,1,951,90,Type B (No Website),High,Turn your Delhi local searches and Google Maps presence into direct dine-in customers. We will build a custom mobile-friendly website and help automate review generation.
Artisan Lab- Concept Store and Cafe- Luxury Home Decor & Lifestyle,Boutique,Delhi,08287757707,https://www.artisanlab.in/?utm_source=gmb&utm_medium=organic&utm_content=GoogleListing&utm_campaign=GoogleListing,https://www.instagram.com/artisanlab.in,96,4.4,6,904,90,Type A (With Website),High,"You have a website, but only 96 reviews. Let's help you double your reviews to match Delhi's top competitors."
Alayna Cafe,Coffee shop,Delhi,09217045511,None,https://www.instagram.com/thealaynacafe/,146,4.7,1,854,90,Type B (No Website),High,Turn your Delhi local searches and Google Maps presence into direct dine-in customers. We will build a custom mobile-friendly website and help automate review generation.
Waffle Castle Delhi (Vijay Nagar),Dessert shop,Delhi,09971211830,http://www.wafflecastle.in/,https://www.instagram.com/ancora_themes,197,4.9,6,803,80,Type A (With Website),High,"You have a website, but only 197 reviews. Let's help you double your reviews to match Delhi's top competitors."
Waffle Castle Delhi (NSP Pitampura),Dessert shop,Delhi,07011073940,http://www.wafflecastle.in/,https://www.instagram.com/ancora_themes,120,4.9,6,880,80,Type A (With Website),High,"You have a website, but only 120 reviews. Let's help you double your reviews to match Delhi's top competitors."
Waffle Castle Delhi (Shalimar Bagh),Dessert shop,Delhi,07678270258,http://www.wafflecastle.in/,https://www.instagram.com/ancora_themes,160,4.9,6,840,80,Type A (With Website),High,"You have a website, but only 160 reviews. Let's help you double your reviews to match Delhi's top competitors."
